Date,Close,High,Low,Open,Volume
2016-01-01,2.87,2.87,2.87,2.87,0
2016-01-04,2.77,2.82,2.63,2.77,32516771
2016-01-05,2.75,2.8,2.64,2.77,12972260
2016-01-06,2.505,2.71,2.47,2.66,23759374
2016-01-07,2.275,2.48,2.26,2.43,22203514
2016-01-08,2.14,2.425,2.1,2.36,31822424
2016-01-11,2.34,2.36,2.12,2.16,19629314
2016-01-12,2.39,2.46,2.28,2.4,17986135
2016-01-13,2.25,2.45,2.21,2.4,12749689
2016-01-14,2.21,2.35,2.21,2.29,15666568
2016-01-15,2.03,2.13,1.99,2.1,21199273
2016-01-18,2.03,2.03,2.03,2.03,0
2016-01-19,1.95,2.11,1.9,2.08,18978876
2016-01-20,1.8,1.95,1.75,1.81,29243601
2016-01-21,2.09,2.18,1.81,1.82,26387931
2016-01-22,2.02,2.17,1.98,2.11,16245515
2016-01-25,2.12,2.15,2.01,2.01,13080926
2016-01-26,2.07,2.15,2.03,2.14,11097391
2016-01-27,2.13,2.18,2.07,2.08,10826932
2016-01-28,2.08,2.17,2.07,2.16,7118372
2016-01-29,2.2,2.2,2.07,2.09,11998088
2016-02-01,2.14,2.19,2.11,2.17,8816117
2016-02-02,1.99,2.14,1.96,2.11,11224069
2016-02-03,2.07,2.075,1.95,2.04,9978631
2016-02-04,2.09,2.17,2.03,2.06,8284838
2016-02-05,1.98,2.075,1.98,2.06,7914421
2016-02-08,1.93,1.98,1.87,1.97,11588981
2016-02-09,1.9,1.995,1.85,1.89,14991465
2016-02-10,1.84,1.98,1.83,1.92,9466130
2016-02-11,1.86,1.94,1.81,1.82,7858282
2016-02-12,1.83,1.91,1.82,1.89,9957298
2016-02-15,1.83,1.83,1.83,1.83,0
2016-02-16,1.83,1.9,1.82,1.86,11853372
2016-02-17,1.9,1.94,1.85,1.85,13770167
2016-02-18,1.91,1.98,1.9,1.93,10823412
2016-02-19,1.91,1.93,1.83,1.93,7784114
2016-02-22,2.01,2.04,1.925,1.94,9895491
2016-02-23,1.97,2.06,1.97,2.04,6710579
2016-02-24,2.02,2.04,1.93,1.98,6906231
2016-02-25,2.03,2.04,1.98,2.02,5614399
2016-02-26,2.07,2.1,2.03,2.04,7911456
2016-02-29,2.14,2.15,2.05,2.06,11400321
2016-03-01,2.18,2.2,2.12,2.16,9011185
2016-03-02,2.32,2.33,2.18,2.2,10845691
2016-03-03,2.46,2.55,2.295,2.32,22092400
2016-03-04,2.37,2.5,2.34,2.42,15448987
2016-03-07,2.47,2.47,2.36,2.36,8801832
2016-03-08,2.3,2.46,2.3,2.44,10026930
2016-03-09,2.26,2.35,2.2,2.32,13082444
2016-03-10,2.26,2.31,2.15,2.29,9625514
2016-03-11,2.52,2.54,2.29,2.29,21382383
2016-03-14,2.72,2.75,2.5,2.53,33848017
2016-03-15,2.49,2.69,2.45,2.67,21573551
2016-03-16,2.63,2.64,2.49,2.5,13015657
2016-03-17,2.8,2.81,2.7,2.77,29000838
2016-03-18,2.93,2.93,2.77,2.8,26330503
2016-03-21,2.8,2.9,2.75,2.9,13464942
2016-03-22,2.79,2.85,2.71,2.73,10315800
2016-03-23,2.68,2.825,2.68,2.8,10167129
2016-03-24,2.79,2.81,2.62,2.69,10040161
2016-03-25,2.79,2.79,2.79,2.79,0
2016-03-28,2.78,2.84,2.73,2.81,7683731
2016-03-29,2.86,2.88,2.7,2.74,13616186
2016-03-30,2.86,2.98,2.85,2.88,14945925
2016-03-31,2.85,2.88,2.8,2.84,9071495
2016-04-01,2.83,2.88,2.76,2.79,8257676
2016-04-04,2.83,2.87,2.8,2.83,5591055
2016-04-05,2.76,2.84,2.72,2.76,9640183
