Date,Close,High,Low,Open,Volume
2016-01-01,62.09,62.09,62.09,62.09,0
2016-01-04,60.67,60.98,59.92,60.88,3339170
2016-01-05,60.53,60.97,60.39,60.71,2808796
2016-01-06,59.85,60.2,59.6,59.79,2868372
2016-01-07,58.44,59.66,58.31,58.79,3982556
2016-01-08,58.23,58.941,58.14,58.8,2883975
2016-01-11,58.02,58.63,57.59,58.39,3037291
2016-01-12,58.65,58.7399,57.81,58.43,2957902
2016-01-13,57.91,59.35,57.82,58.82,4225569
2016-01-14,58.42,59.18,57.97,57.97,3193336
2016-01-15,58.13,58.56,56.03,56.91,5060193
2016-01-18,58.13,58.13,58.13,58.13,0
2016-01-19,58.44,59.35,58.06,59.02,3082941
2016-01-20,57.99,58.48,57.14,57.5,4685457
2016-01-21,58.15,58.66,57.82,58.21,3858001
2016-01-22,58.53,59.0,58.2,58.91,2699576
2016-01-25,57.7,58.46,57.62,58.31,3852370
2016-01-26,58.18,58.68,57.88,58.05,2185096
2016-01-27,58.41,59.375,58.03,58.18,2891332
2016-01-28,59.22,59.4979,58.42,58.83,3191031
2016-01-29,60.6,60.61,59.43,59.68,3799209
2016-02-01,60.53,60.83,59.82,60.14,2667519
2016-02-02,59.97,60.5,59.76,60.01,2540585
2016-02-03,59.64,60.29,58.29,60.29,4765228
2016-02-04,62.05,62.2,60.475,60.475,5519955
2016-02-05,63.37,63.52,62.09,62.09,4617492
2016-02-08,63.33,63.54,62.355,62.87,3008508
2016-02-09,63.01,63.26,62.45,62.81,3743744
2016-02-10,62.98,63.94,62.89,63.27,2987480
2016-02-11,62.32,62.655,61.7,61.95,3020007
2016-02-12,63.91,64.31,62.86,63.02,3615267
2016-02-15,63.91,63.91,63.91,63.91,0
2016-02-16,64.57,64.72,63.845,64.47,3502476
2016-02-17,65.02,65.2899,64.69,64.69,3342656
2016-02-18,64.3,65.0,64.07,64.91,4086419
2016-02-19,64.0,64.44,63.8,63.89,4300104
2016-02-22,64.44,64.6,64.2,64.5,2513674
2016-02-23,63.73,64.31,63.56,64.31,1973511
2016-02-24,63.95,64.125,62.78,63.35,2366705
2016-02-25,64.41,64.44,63.67,63.92,1935492
2016-02-26,64.32,64.71,64.21,64.53,2391399
2016-02-29,63.46,64.305,63.45,64.12,2284084
2016-03-01,64.81,64.81,63.59,63.84,2167703
2016-03-02,65.41,65.42,64.64,64.73,2215904
2016-03-03,65.31,65.47,65.0,65.4,1985356
2016-03-04,65.38,65.59,64.85,65.3,1629377
2016-03-07,65.03,65.32,64.75,64.81,1609161
2016-03-08,64.58,65.035,64.53,64.76,1797147
2016-03-09,64.53,64.92,64.33,64.79,1496694
2016-03-10,64.26,65.02,63.73,64.59,3071393
2016-03-11,65.52,65.71,64.71,64.93,2235342
2016-03-14,64.95,65.41,64.53,65.19,1744665
2016-03-15,65.92,66.055,64.38,64.51,2368178
2016-03-16,66.28,66.53,65.47,65.72,2162969
2016-03-17,67.2,67.45,66.07,66.33,2338034
2016-03-18,67.23,67.76,66.66,67.4,3777239
2016-03-21,66.84,67.16,66.59,66.93,1258002
2016-03-22,66.92,67.24,66.67,66.9,1551519
2016-03-23,66.66,67.01,66.52,66.91,2080461
2016-03-24,66.19,66.485,65.94,66.47,1396720
2016-03-25,66.19,66.19,66.19,66.19,0
2016-03-28,66.82,66.99,66.21,66.34,1730218
2016-03-29,67.16,67.25,66.53,66.82,2483622
2016-03-30,67.72,67.9,67.145,67.26,1803014
2016-03-31,67.37,67.92,67.25,67.75,1692598
2016-04-01,68.23,68.33,67.015,67.24,1479085
2016-04-04,67.64,68.24,67.52,68.15,1323252
2016-04-05,66.7,67.41,66.64,67.32,1712072
2016-04-06,67.03,67.17,66.5,66.65,1624452
2016-04-07,66.28,66.81,66.03,66.49,1603477
2016-04-08,66.84,67.45,66.68,66.82,1695175
2016-04-11,66.79,67.48,66.78,66.83,1683366
2016-04-12,67.21,67.4,66.62,66.75,1571298
2016-04-13,67.53,67.89,66.82,67.54,1687623
2016-04-14,66.67,67.47,66.58,67.15,2457493
2016-04-15,66.6,67.1,66.25,66.64,2779150
2016-04-18,67.3,67.33,66.3,66.49,1968905
2016-04-19,67.53,67.907,67.37,67.57,1471943
2016-04-20,66.92,67.69,66.62,67.69,1446155
2016-04-21,65.45,66.57,65.24,65.4,3295891
2016-04-22,65.74,66.07,65.355,65.44,1743298
2016-04-25,65.61,65.74,64.98,65.74,1528953
2016-04-26,65.87,66.01,65.39,65.79,1775711
2016-04-27,65.51,65.95,65.28,65.86,1540138
2016-04-28,64.95,65.55,64.795,65.02,1482820
2016-04-29,65.05,65.23,64.36,64.83,2180409
2016-05-02,65.36,65.58,65.01,65.58,2004543
2016-05-03,65.41,65.59,64.67,64.8,1865875
2016-05-04,65.28,65.55,64.59,64.82,2936089
2016-05-05,67.87,69.24,67.05,68.09,4521612
2016-05-06,67.1,67.55,66.58,67.5,2213634
2016-05-09,67.21,67.65,66.87,67.1,1836056
2016-05-10,67.98,68.0,67.35,67.58,2249067
2016-05-11,67.35,67.975,67.32,67.68,2056690
2016-05-12,67.54,67.77,67.08,67.57,2517338
2016-05-13,67.38,67.78,67.28,67.65,1736059
2016-05-16,67.55,67.79,67.125,67.19,2019819
2016-05-17,67.1,67.71,66.89,67.51,2015370
2016-05-18,67.36,67.59,66.76,66.84,2444536
2016-05-19,66.84,67.25,66.5875,66.98,2160702
2016-05-20,67.15,67.71,66.96,67.11,1889053
2016-05-23,66.88,67.21,66.68,67.09,1331319
2016-05-24,67.44,67.75,66.99,67.27,1840182
2016-05-25,67.28,67.83,67.205,67.68,1715470
2016-05-26,67.51,67.58,67.15,67.28,1229784
2016-05-27,67.68,67.87,67.46,67.56,839925
2016-05-30,67.68,67.68,67.68,67.68,0
2016-05-31,67.51,67.96,67.17,67.75,3554417
2016-06-01,67.44,67.5,66.67,66.9,1498493
